model,peak_MAE,peak_bias,peak_MAPE_%,peak_hour_exact_%,peak_hour_within_1h_%,peak_hour_MAE_h
timesfm_ctx896,3735.565342548077,631.0667412860573,1.7135437008147056,72.47596153846155,87.3798076923077,1.4771634615384615
timesfm,3855.522348257211,747.8642548076921,1.7671956999917697,72.23557692307693,86.77884615384616,1.5444711538461537
seasonal_naive_daily,4993.333533653845,75.0358173076923,2.305350452668825,65.26442307692307,82.9326923076923,2.204326923076923
lightgbm,6000.440112727667,4917.936613959014,2.698230547043149,44.47115384615385,75.96153846153845,2.253605769230769
seasonal_naive_weekly,8346.413810096154,534.0075360576923,3.81443309624863,59.97596153846154,78.36538461538461,2.234375
