model,n_forecasts,MAE,RMSE,sMAPE,MAPE,MASE,improvement_vs_baseline_%
timesfm_ctx896,19968,3642.130443381285,5838.382341755045,1.8760017861086082,1.89148899913531,0.8193401278593284,35.673611969584115
timesfm,19968,3719.45348427797,5893.608099245939,1.9166583107658124,1.9303050400853319,0.8367348563567365,34.30795195006154
lightgbm,19968,5231.026919597923,7310.782887671769,2.7081075192500714,2.7205892635859525,1.1767810988010408,7.6109237001370955
seasonal_naive_daily,19968,5661.953911758814,8615.72458893041,2.947946448783582,2.9574985277418326,1.2737231996796001,0.0
seasonal_naive_weekly,19968,8328.867349759616,11742.478535612421,4.284944170976996,4.288620082169327,1.8736767793906892,-47.10235158329572
