model,CRPS,pinball_mean,PICP_20,width_20,winkler_20,PICP_40,width_40,winkler_40,PICP_60,width_60,winkler_60,PICP_80,width_80,winkler_80
lightgbm,4100.350749487871,2050.1753747439357,0.12775440705128205,1960.406662703835,12321.231072194543,0.25931490384615385,4101.642738226924,15019.398441860472,0.4030448717948718,6673.647050670321,18982.832101833224,0.5827323717948718,10637.641714953927,26941.36620186774
timesfm,2971.300882246664,1485.650441123332,0.20838341346153846,2239.050057435647,9045.526813996144,0.41195913461538464,4624.074538010817,11007.017646254842,0.6055188301282052,7427.700995812049,13700.263021459334,0.8091947115384616,11890.982080704127,18507.58604204227
timesfm_ctx896,2905.7683317213796,1452.8841658606898,0.2094851762820513,2180.0943689590845,8855.365761663976,0.4131109775641026,4508.799020620493,10757.202487939037,0.6142828525641025,7258.083608774038,13373.141101778469,0.8199619391025641,11665.68661342523,18109.56999652569
