model,h,MAE,RMSE
timesfm,14,4042.5132951472356,6322.626441169279
timesfm,15,4206.880081505408,6384.8924665539325
timesfm,16,4435.125190054086,7367.501209790817
timesfm,17,4278.618900991587,6330.130851175725
timesfm,18,4287.413837139423,6291.789450623287
timesfm,19,4333.297482722355,6541.728977644231
timesfm,20,4395.149269456129,6729.8954237829985
timesfm,21,4546.754731069712,6770.3696525529485
timesfm,22,4685.881322866586,7608.149535603977
timesfm,23,4487.124712289664,6523.239375489495
timesfm,24,4415.872118389423,6456.173176583025
timesfm_ctx896,1,1271.8181197415868,1972.0380575673553
timesfm_ctx896,2,1786.657994290865,2838.7091574557608
timesfm_ctx896,3,2206.6103410456735,3331.8249970329916
timesfm_ctx896,4,2787.927225060096,5326.135323150432
timesfm_ctx896,5,2886.3894741586546,4301.1432045625415
timesfm_ctx896,6,3162.565549879808,4819.066190434548
timesfm_ctx896,7,3511.522506760817,5524.8246117456965
timesfm_ctx896,8,3596.631169621394,5757.040510727794
timesfm_ctx896,9,3754.076899038462,5802.708640736195
timesfm_ctx896,10,3914.049249549279,6749.021098701866
timesfm_ctx896,11,3796.5210389122594,5677.268087041413
timesfm_ctx896,12,3789.3054507211536,5699.004690296308
timesfm_ctx896,13,3880.945381610577,6040.680610918719
timesfm_ctx896,14,3971.5307898888223,6277.76548793708
timesfm_ctx896,15,4129.940787259616,6326.344046277184
timesfm_ctx896,16,4347.095399639423,7285.702579644313
timesfm_ctx896,17,4188.303290264423,6228.031671707805
timesfm_ctx896,18,4222.048372145433,6225.035248594787
timesfm_ctx896,19,4251.774190955529,6511.908145950358
timesfm_ctx896,20,4283.183815730168,6678.691653087726
timesfm_ctx896,21,4416.936179011418,6687.34241031742
timesfm_ctx896,22,4550.264835486779,7524.811049190754
timesfm_ctx896,23,4378.233813100961,6444.641632630785
timesfm_ctx896,24,4326.798767277644,6396.369757706244
