model,h,MAE,RMSE,sMAPE,MASE,MAE_skill_%
seasonal_naive_weekly,24,7991.33344951923,11055.352210206138,4.113729310949598,1.7977445542057322,-42.01906805960236
timesfm,1,1296.9880495042069,2015.4957679652796,0.6623228958814809,0.29177273324846403,76.45576297057383
timesfm,2,1821.4753278996393,2845.3960333511945,0.9291065693313929,0.40976232215021363,67.08219059192334
timesfm,3,2232.359604492188,3326.620627765544,1.1290075856189192,0.5021955781667619,60.912040763909715
timesfm,4,2852.3975706129804,5338.343915246968,1.463724380776637,0.6416804193432382,51.7726648413465
timesfm,5,2962.4590797776445,4347.3485814253,1.5160358134374046,0.666440051759821,47.717572739960424
timesfm,6,3244.5864851262018,4851.01985989966,1.674676113425176,0.7299079335296745,42.258825600398154
timesfm,7,3592.3443276742787,5548.529599874614,1.8499465986918793,0.8081401549195543,34.83527011086122
timesfm,8,3663.1813003305288,5787.361295155833,1.884754023327933,0.8240757659954324,33.84229356596238
timesfm,9,3821.471126427284,5848.636217924924,1.9569548807900845,0.8596849261749183,33.13100993960383
timesfm,10,3979.7239032451917,6811.637262217936,2.0633247545789857,0.8952857516828872,32.7597503222252
timesfm,11,3877.373085186298,5770.200987428923,2.003245439917386,0.872260730020833,31.610356576550704
timesfm,12,3848.4259682992783,5781.003388592,1.9918048415345584,0.8657487352364424,31.556149247489152
timesfm,13,3959.466852463943,6095.421110696554,2.0488256814770875,0.8907286895910219,28.187841728741823
timesfm,14,4042.5132951472356,6322.626441169279,2.0937552806048485,0.9094109647110808,26.988912611527837
timesfm,15,4206.880081505408,6384.8924665539325,2.166584307577737,0.9463872086551349,26.37827373653321
timesfm,16,4435.125190054086,7367.501209790817,2.3006410912851134,0.9977336333174879,25.076549323923746
timesfm,17,4278.618900991587,6330.130851175725,2.207210918580044,0.962525700794289,24.52201183046725
timesfm,18,4287.413837139423,6291.789450623287,2.211644761177924,0.9645042252375796,23.76620174677001
timesfm,19,4333.297482722355,6541.728977644231,2.2355315064955317,0.9748262915729276,21.426036104031155
timesfm,20,4395.149269456129,6729.8954237829985,2.2643951253375607,0.9887405792785953,20.64426790739482
timesfm,21,4546.754731069712,6770.3696525529485,2.329841093727068,1.0228460129618888,20.418789573871244
timesfm,22,4685.881322866586,7608.149535603977,2.425127021282556,1.0541441779462422,20.83014177475726
timesfm,23,4487.124712289664,6523.239375489495,2.3133116054358847,1.0094315381178356,20.843323014660985
timesfm,24,4415.872118389423,6456.173176583025,2.278027168086302,0.9934024281493489,21.522728730362584
timesfm_ctx896,1,1271.8181197415868,1972.0380575673553,0.6497966059977667,0.28611046118256583,76.91267295719373
timesfm_ctx896,2,1786.657994290865,2838.7091574557608,0.9120174381702552,0.401929752994824,67.71141149559192
timesfm_ctx896,3,2206.6103410456735,3331.8249970329916,1.1150747992649603,0.4964029781672505,61.36290278360016
timesfm_ctx896,4,2787.927225060096,5326.135323150432,1.4295886843771266,0.627177055998735,52.862706774773386
timesfm_ctx896,5,2886.3894741586546,4301.1432045625415,1.475690749461067,0.6493272982868266,49.06007351900013
timesfm_ctx896,6,3162.565549879808,4819.066190434548,1.631502139097685,0.7114563583824834,43.718483140177455
timesfm_ctx896,7,3511.522506760817,5524.8246117456965,1.8090910724442821,0.7899583346606452,36.30136902805043
timesfm_ctx896,8,3596.631169621394,5757.040510727794,1.850900025894352,0.8091045304913971,35.04420077437833
timesfm_ctx896,9,3754.076899038462,5802.708640736195,1.9216372120373557,0.8445238011838887,34.31028979605127
timesfm_ctx896,10,3914.049249549279,6749.021098701866,2.0278592797134327,0.8805114650413658,33.869370039415536
timesfm_ctx896,11,3796.5210389122594,5677.268087041413,1.959705944921038,0.8540721102111707,33.03643616529681
timesfm_ctx896,12,3789.3054507211536,5699.004690296308,1.9573830335302,0.8524488786869334,32.60760142946177
timesfm_ctx896,13,3880.945381610577,6040.680610918719,2.0045246340248344,0.8730643601638278,29.611971921700743
timesfm_ctx896,14,3971.5307898888223,6277.76548793708,2.053095818842822,0.8934426143627583,28.27091455341284
timesfm_ctx896,15,4129.940787259616,6326.344046277184,2.1230359929573135,0.9290788084853074,27.724735615675034
timesfm_ctx896,16,4347.095399639423,7285.702579644313,2.2527303376120775,0.9779302954483425,26.56365405660389
timesfm_ctx896,17,4188.303290264423,6228.031671707805,2.1582984304794883,0.9422081407312319,26.115245711710845
timesfm_ctx896,18,4222.048372145433,6225.035248594787,2.177137557170902,0.9497994942351283,24.928454298160084
timesfm_ctx896,19,4251.774190955529,6511.908145950358,2.1922095733955698,0.9564866671860169,22.904265606969155
timesfm_ctx896,20,4283.183815730168,6678.691653087726,2.2077404253080877,0.9635526321147674,22.66583759815616
timesfm_ctx896,21,4416.936179011418,6687.34241031742,2.2640411091957664,0.9936418011151524,22.690985484939407
timesfm_ctx896,22,4550.264835486779,7524.811049190754,2.3561753726976384,1.0236356522805754,23.121437123290868
timesfm_ctx896,23,4378.233813100961,6444.641632630785,2.259966229897589,0.9849352481988068,22.764250621178295
timesfm_ctx896,24,4326.798767277644,6396.369757706244,2.2348404001149835,0.9733643290138799,23.10570789069304
